model,sample,session,horizon,direction_cosine,execution_cosine,norm_ratio,full_mse,execution_mse,decoded_mse,endpoint_correct,reencoded_correct,continuity
Phase_flow,116,25,2,0.3671121597290039,0.6684122085571289,1.2444578409194946,1.341418743133545,0.8316481709480286,0.04580909386277199,0,0,0.29376935958862305
Phase_flow,116,25,4,0.8667725920677185,0.8710286021232605,0.8584908843040466,0.5872343182563782,0.7411888837814331,0.04698562994599342,0,0,0.3753180503845215
Phase_flow,128,29,1,0.7692758440971375,0.7884393334388733,0.8732298016548157,0.429334431886673,0.44310352206230164,0.038102831691503525,1,1,0.36841464042663574
Phase_flow,128,29,2,0.80949866771698,0.8667899370193481,0.9563813805580139,0.4242955446243286,0.4345797002315521,0.025040650740265846,0,1,0.09412521123886108
Phase_flow,128,29,4,0.8531792163848877,0.8243448138237,0.8616487383842468,0.6081207394599915,0.6791117191314697,0.028997153043746948,0,0,0.003414928913116455
O1_oracle_train,35,10,1,0.9084042310714722,0.9432427287101746,0.9109058380126953,0.45702996850013733,0.41792261600494385,0.01865832693874836,1,1,0.1710137575864792
O1_oracle_train,35,10,2,0.8831110596656799,0.933314323425293,1.073322057723999,0.7721209526062012,0.7070410251617432,0.0451822467148304,1,1,0.2746867537498474
O1_oracle_train,35,10,4,0.8574122190475464,0.8462138772010803,0.7971673011779785,0.9308344125747681,0.7636698484420776,0.06814119964838028,0,0,0.027732789516448975
O1_oracle_train,38,10,1,0.872857391834259,0.9269206523895264,1.0254185199737549,0.47668540477752686,0.45254117250442505,0.02113434672355652,1,1,0.17300169169902802
O1_oracle_train,38,10,2,0.7857252955436707,0.8114047646522522,0.8849700689315796,0.8838907480239868,1.1142590045928955,0.03260384127497673,1,1,0.1241070032119751
O1_oracle_train,38,10,4,0.8877326846122742,0.9192741513252258,1.1328718662261963,0.6150407791137695,0.6426671743392944,0.01929096318781376,1,1,0.08457064628601074
O1_oracle_train,102,21,1,0.8691150546073914,0.8513959050178528,0.8995250463485718,0.709418773651123,1.1209036111831665,0.033129312098026276,0,0,0.3786076009273529
O1_oracle_train,102,21,2,0.7884895205497742,0.7974355220794678,0.9683822989463806,0.8015598058700562,1.1580936908721924,0.07204773277044296,1,1,0.5879648327827454
O1_oracle_train,102,21,4,0.7786088585853577,0.6377204060554504,0.9972419142723083,1.2601096630096436,1.7196894884109497,0.030169030651450157,0,0,0.1815999150276184
O1_oracle_train,108,25,1,0.7527017593383789,0.7359871864318848,1.4244035482406616,0.6199493408203125,0.681943416595459,0.03940938040614128,1,1,0.4343265891075134
O1_oracle_train,108,25,2,0.8155181407928467,0.8102947473526001,1.3692941665649414,0.6213366985321045,0.5071403980255127,0.02749255858361721,1,1,0.16085684299468994
O1_oracle_train,108,25,4,0.8054662942886353,0.7980870604515076,0.9169026613235474,0.928345799446106,0.9721331000328064,0.04111103713512421,1,1,0.19139552116394043
O1_oracle_train,116,25,1,0.3352406322956085,0.2036779373884201,0.9199122190475464,0.6400102972984314,0.7543420791625977,0.0611223541200161,1,1,0.3192712366580963
O1_oracle_train,116,25,2,0.6341220736503601,0.4937085211277008,1.21360182762146,0.7660497426986694,0.6751594543457031,0.06987269967794418,1,1,0.12216854095458984
O1_oracle_train,116,25,4,0.8094612956047058,0.7655941843986511,0.7515823245048523,0.8217476606369019,1.218462586402893,0.0950983390212059,0,0,0.2898285984992981
O1_oracle_train,128,29,1,0.681376039981842,0.7309885621070862,0.8384543657302856,0.5741932392120361,0.6114879846572876,0.05513875558972359,0,0,0.5952023267745972
O1_oracle_train,128,29,2,0.7175784707069397,0.6989293694496155,1.2570637464523315,0.8990412950515747,1.3645446300506592,0.03994692862033844,1,1,0.010129988193511963
O1_oracle_train,128,29,4,0.8394593596458435,0.8440822958946228,0.8202216029167175,0.6606773734092712,0.6589959859848022,0.018624676391482353,0,1,0.11083626747131348
ground_truth,35,10,1,0.9999998807907104,1.0000001192092896,1.0,0.0,0.0,0.00207144464366138,1,1,0.04918861389160156
ground_truth,35,10,2,1.0,1.0,1.0,0.0,0.0,0.002134521957486868,1,1,0.03643563389778137
ground_truth,35,10,4,1.0000001192092896,0.9999998807907104,1.0,0.0,0.0,0.010515925474464893,0,0,0.03125959634780884
ground_truth,38,10,1,1.0000001192092896,1.0,1.0,0.0,0.0,0.001252843881957233,0,0,0.03240923583507538
ground_truth,38,10,2,1.0000001192092896,1.0000001192092896,1.0,0.0,0.0,0.004899992141872644,1,1,0.08487802743911743
ground_truth,38,10,4,1.0,1.0000001192092896,1.0,0.0,0.0,0.0014686795184388757,1,1,0.018332362174987793
ground_truth,102,21,1,1.0000001192092896,1.0,1.0,0.0,0.0,0.003972301725298166,0,0,0.10372866690158844
ground_truth,102,21,2,1.0,0.9999999403953552,1.0,0.0,0.0,0.0009529789094813168,1,1,0.007407724857330322
ground_truth,102,21,4,1.0000001192092896,1.0,1.0,0.0,0.0,0.002980528399348259,0,0,0.11831265687942505
ground_truth,108,25,1,1.0,1.0,1.0,0.0,0.0,0.002611852250993252,1,1,0.02389894425868988
ground_truth,108,25,2,0.9999999403953552,1.0,1.0,0.0,0.0,0.002177128102630377,1,1,0.039086371660232544
ground_truth,108,25,4,0.9999998807907104,1.0,1.0,0.0,0.0,0.0020053761545568705,1,1,0.02733713388442993
ground_truth,116,25,1,1.0,1.0,1.0,0.0,0.0,0.0013847496593371034,0,1,0.07383914291858673
ground_truth,116,25,2,0.9999999403953552,1.0,1.0,0.0,0.0,0.0004871523706242442,0,0,0.008760601282119751
ground_truth,116,25,4,1.0,1.0,1.0,0.0,0.0,0.0027662210632115602,0,0,0.14525163173675537
ground_truth,128,29,1,1.0,1.0,1.0,0.0,0.0,0.001203032792545855,0,0,0.05464570224285126
ground_truth,128,29,2,0.9999998807907104,1.0,1.0,0.0,0.0,0.000730715983081609,1,1,0.03919011354446411
ground_truth,128,29,4,1.0,1.0,1.0,0.0,0.0,0.002621052786707878,0,0,0.07627999782562256
