sample,session,goal,cycle_residual,global_distance,goal_core_distance,goal_core_margin,execution_goal_core_distance,execution_goal_core_margin,endpoint_correct,decoded_reencoded_correct,decoded_action_mse,continuity,cycle4_residual,cycle4_global_distance,cycle4_goal_core_margin,cycle4_execution_goal_core_margin
74,21,lift_red_block_table,2.8501975536346436,3.1906116008758545,3.5445399284362793,-0.27050042152404785,2.232290744781494,-0.2767840623855591,0,0,0.045553844422101974,0.7229223847389221,0.18274833261966705,2.380887031555176,-0.3025655746459961,-0.5593103170394897
75,21,place_in_slider,2.669811248779297,3.185145854949951,5.816887855529785,-2.4563817977905273,3.9125380516052246,-1.4974799156188965,0,0,0.04758232831954956,0.6595984101295471,0.4370712637901306,2.773402214050293,-3.2422120571136475,-1.959036946296692
76,21,turn_on_lightbulb,2.084754228591919,2.6384880542755127,2.6384880542755127,0.7312805652618408,1.507277250289917,0.5870940685272217,1,1,0.013216666877269745,0.6601790189743042,0.22908733785152435,2.2553598880767822,0.6612637042999268,0.7201323509216309
77,21,turn_off_lightbulb,2.37846040725708,2.748490810394287,2.748490810394287,0.5914192199707031,2.1354563236236572,0.30083370208740234,1,1,0.01222885400056839,0.4952124059200287,0.29195189476013184,2.906428575515747,0.5405170917510986,0.5499515533447266
78,21,turn_on_lightbulb,2.8579280376434326,4.100004196166992,4.757218837738037,-0.4148106575012207,2.9543986320495605,-0.7382149696350098,0,0,0.05832210183143616,0.49899253249168396,0.3314834237098694,3.190441608428955,-1.232771873474121,-0.5614039897918701
79,21,push_pink_block_right,1.6748201847076416,2.7897963523864746,3.418233871459961,-0.5791230201721191,1.428633689880371,0.4891449213027954,0,1,0.023444226011633873,1.2676842212677002,0.16386374831199646,2.3376190662384033,0.3791220188140869,0.6918998956680298
80,21,place_in_slider,3.039430856704712,3.195000648498535,5.448126792907715,-2.00382661819458,3.5335452556610107,-1.0295214653015137,0,0,0.05257407948374748,0.7712984085083008,0.3047410249710083,2.604979991912842,-2.947756290435791,-1.6428050994873047
81,21,turn_on_lightbulb,2.4349682331085205,2.4193787574768066,2.420100688934326,0.5960607528686523,1.5352438688278198,0.5012284517288208,1,1,0.009329509921371937,0.7400199174880981,0.10154019296169281,1.7687504291534424,0.23600435256958008,0.5261706113815308
82,21,lift_blue_block_slider,2.6517374515533447,3.099191427230835,3.1546530723571777,0.2911648750305176,2.61901593208313,-0.4001281261444092,1,1,0.05332234874367714,0.610794723033905,0.1822117269039154,2.753164768218994,0.3906726837158203,0.45674729347229004
83,21,turn_off_lightbulb,1.7035101652145386,2.6141486167907715,3.609685182571411,-0.9853003025054932,3.2128348350524902,-1.2815887928009033,0,0,0.047843486070632935,0.6067607402801514,0.14801883697509766,2.023224353790283,-1.539738416671753,-1.6011757850646973
84,21,push_pink_block_right,2.0769224166870117,2.6779675483703613,2.6800801753997803,0.9287049770355225,1.5767794847488403,0.9369748830795288,1,1,0.005623544100672007,1.0871325731277466,0.09194494038820267,1.2693254947662354,1.7884752750396729,1.3358054161071777
