model,family,H2_full_mse,H4_decoded_mse,endpoint_accuracy,decode_reencode_accuracy,continuity,RedirectGain,Execution_RedirectGain,parameters,eligible,pareto_dominated
MDN_K3_argmax,MDN,1.2698884010314941,0.06565188616514206,0.3111800415045851,0.2969361830416597,0.2227502167224884,0.3108496367931366,0.1869548261165619,45417,False,False
MDN_K4_argmax,MDN,1.3392901420593262,0.06478852033615112,0.28795667808514325,0.28703677686098233,0.20493483543395996,0.1984548717737198,0.14232681691646576,49932,False,False
MoE_K2_hard,MoE,0.9520476460456848,0.05764118582010269,0.23674253400419723,0.209213858537726,0.20204168558120728,0.3266228437423706,0.1734422892332077,40644,False,False
MoE_K2_soft,MoE,0.9472091794013977,0.05748859420418739,0.23674253400419723,0.19791117654538884,0.20178735256195068,0.31334197521209717,0.16526676714420319,40644,False,False
MoE_K3_hard,MoE,1.0288487672805786,0.05761244148015976,0.28492365946727,0.28453333034130873,0.19957154989242554,0.4833114445209503,0.33888334035873413,45030,False,False
MoE_K3_soft,MoE,1.0223575830459595,0.05731549859046936,0.28702449980340444,0.27430369570329005,0.19902820885181427,0.4691533148288727,0.3341597318649292,45030,False,False
MoE_K4_hard,MoE,1.0509358644485474,0.05824492499232292,0.3010810477679984,0.27760916743337294,0.20325346291065216,0.1970621943473816,0.07140669971704483,49416,False,False
MoE_K4_soft,MoE,1.0258747339248657,0.05817124620079994,0.2912771261993709,0.2851849250091305,0.20230591297149658,0.1839173138141632,0.06282009929418564,49416,False,False
Phase_D5_factored_MLP,phase_augmented,0.9273486137390137,0.048670560121536255,0.40129619710417547,0.34858891890670113,0.21167494356632233,0.49322059750556946,0.33952489495277405,37153,False,False
Phase_cvae,phase_augmented,0.9815004467964172,0.05581868067383766,0.28138715140067405,0.25759637652808715,0.23489080369472504,0.25019901990890503,0.1403830200433731,75817,False,False
Phase_diffusion,phase_augmented,2.192681074142456,0.08129844069480896,0.1513505576385901,0.1437748000628325,0.20840393006801605,0.01484846230596304,0.013036024756729603,41248,False,False
Phase_flow,phase_augmented,0.8330019116401672,0.044799912720918655,0.4398583861734639,0.38503387654841337,0.20173047482967377,0.421276718378067,0.2610156834125519,41248,False,False
Phase_mdn,phase_augmented,1.2176988124847412,0.06662240624427795,0.28122764721818133,0.33043893976956856,0.20651695132255554,0.2890838086605072,0.18482674658298492,46441,False,False
Phase_moe,phase_augmented,1.027113676071167,0.0543447881937027,0.3629614019066351,0.281035474679829,0.19851887226104736,0.3859555423259735,0.2553524971008301,46054,False,False
RAT_A_attention,retrieval_augmented,1.0696580410003662,0.05462539196014404,0.5191154599538642,0.5243806427714474,0.2077520340681076,1.1268372535705566,0.7842555642127991,80418,False,False
RAT_B_top1,retrieval_augmented,1.7360888719558716,0.0814184918999672,0.4567028343904611,0.44135974835772,0.24835951626300812,1.0654382705688477,0.7241508364677429,80418,False,False
RAT_C_residual,retrieval_augmented,0.9903538227081299,0.05123110115528107,0.37226557405732524,0.3311330732223227,0.19731861352920532,0.7103215456008911,0.4319334030151367,80418,False,False
cVAE_D_z2_mean8,cVAE,0.9600247144699097,0.05547882989048958,0.25769776388437643,0.2529709991508504,0.2305336892604828,0.18359985947608948,0.08837530761957169,72997,False,False
cVAE_D_z4_mean8,cVAE,0.940825343132019,0.05634443834424019,0.30970508718987416,0.28906345076054335,0.229376420378685,0.24030819535255432,0.14101099967956543,73769,False,False
goal_horizon_mean,historical,1.6877727508544922,0.06793764233589172,0.32314044856303137,0.2950674685292671,0.2112099975347519,0.5348391532897949,0.39925631880760193,0,False,False
language_prototype,historical,0.6779637932777405,0.04999558627605438,0.8333333333333334,0.5,0.21191315352916718,0.5067560076713562,0.4460979998111725,0,False,False
