sample,session,goal,horizon,mean_source_distance,mean_neighbor_displacement_cosine,D2_cosine
116,25,place_in_slider,1,3.5701377391815186,0.1689532995223999,0.3753323256969452
117,25,turn_on_lightbulb,1,4.271069049835205,0.1686711460351944,0.5210581421852112
118,25,turn_off_lightbulb,1,4.295169830322266,0.3971160352230072,0.7550225853919983
119,25,lift_red_block_table,1,4.3461503982543945,0.05656939744949341,0.2537309527397156
120,25,lift_blue_block_slider,1,4.021613121032715,0.06788963824510574,0.21540318429470062
121,25,turn_on_lightbulb,1,4.255890369415283,0.2897051274776459,0.6993623375892639
122,29,turn_off_lightbulb,1,4.136916637420654,0.32326701283454895,0.6521894931793213
123,29,place_in_slider,1,3.6060378551483154,0.75534987449646,0.9497644901275635
124,29,turn_on_lightbulb,1,2.9275927543640137,0.17680761218070984,0.38964197039604187
125,29,lift_red_block_table,1,4.068875312805176,0.13003133237361908,0.43509745597839355
126,29,place_in_slider,1,3.2272133827209473,0.3266081213951111,0.6399173140525818
127,29,lift_blue_block_slider,1,3.535512924194336,0.35236915946006775,0.8514147996902466
128,29,place_in_slider,1,3.609973192214966,0.4602115750312805,0.7263219952583313
129,29,push_pink_block_right,1,3.291508913040161,-0.12233519554138184,-0.27652275562286377
130,29,place_in_slider,1,3.8796424865722656,0.6396649479866028,0.8309983611106873
131,29,lift_red_block_table,1,5.051883697509766,0.04919033125042915,0.11957650631666183
132,29,lift_blue_block_slider,1,4.364034175872803,0.31619441509246826,0.8064723610877991
133,29,turn_on_lightbulb,1,4.460686683654785,0.3448565602302551,0.8105161786079407
134,29,push_pink_block_right,1,6.068255424499512,-0.05262162163853645,0.05858989804983139
135,29,lift_blue_block_slider,1,3.988635301589966,0.3057192862033844,0.7062228918075562
136,29,turn_off_lightbulb,1,3.595397472381592,0.29657772183418274,0.6155347228050232
137,29,lift_red_block_table,1,4.228980541229248,0.35697656869888306,0.8363051414489746
138,29,turn_on_lightbulb,1,2.9669301509857178,0.15244460105895996,0.26430994272232056
0,3,turn_off_lightbulb,2,3.5335495471954346,0.6084967255592346,0.9075725674629211
1,3,lift_red_block_table,2,3.9745750427246094,0.40987730026245117,0.809518039226532
2,3,lift_blue_block_slider,2,4.296760559082031,0.26832321286201477,0.7338303923606873
3,3,push_pink_block_right,2,5.724740505218506,0.49496346712112427,0.7817187309265137
4,3,turn_on_lightbulb,2,7.5287299156188965,-0.04330051690340042,-0.11171414703130722
5,3,lift_red_block_table,2,4.851327896118164,0.1469404548406601,0.4538883566856384
6,3,turn_on_lightbulb,2,4.021000385284424,0.3429676592350006,0.7957839369773865
7,3,lift_red_block_table,2,4.360657691955566,0.33791276812553406,0.7361887097358704
8,3,place_in_slider,2,3.8094284534454346,0.581112265586853,0.7411376237869263
9,3,turn_on_lightbulb,2,4.511115550994873,0.21591977775096893,0.7049750685691833
10,3,lift_red_block_table,2,4.530976295471191,0.17016062140464783,0.42482224106788635
11,3,place_in_slider,2,3.5054752826690674,0.2504650950431824,0.5184012651443481
12,3,turn_on_lightbulb,2,4.430495738983154,0.5100272297859192,0.886378824710846
13,3,turn_off_lightbulb,2,4.0191826820373535,0.4970387816429138,0.7686423063278198
14,3,lift_blue_block_slider,2,5.2122368812561035,0.23353978991508484,0.531498372554779
15,3,lift_red_block_table,2,5.022512435913086,-0.03192632272839546,-0.06446157395839691
16,3,turn_off_lightbulb,2,5.4574432373046875,0.558408260345459,0.8944409489631653
17,3,turn_on_lightbulb,2,2.8783247470855713,0.5788671374320984,0.8138140439987183
18,3,lift_red_block_table,2,4.714816570281982,0.42352619767189026,0.7284421324729919
19,3,turn_off_lightbulb,2,4.498811721801758,0.5572268962860107,0.8490973711013794
20,3,place_in_slider,2,3.9565765857696533,0.36679428815841675,0.7046211957931519
21,3,turn_on_lightbulb,2,5.388446807861328,0.16077227890491486,0.5394445061683655
22,3,turn_off_lightbulb,2,4.067629814147949,0.2063858062028885,0.41709214448928833
23,3,turn_on_lightbulb,2,4.0602126121521,0.33658745884895325,0.7440139651298523
24,3,turn_off_lightbulb,2,4.668313503265381,0.5921772718429565,0.9019845128059387
25,3,lift_blue_block_slider,2,5.711239814758301,0.3120795488357544,0.7166589498519897
26,3,turn_on_lightbulb,2,3.471411943435669,0.4198470711708069,0.57069331407547
27,3,place_in_slider,2,3.7243523597717285,0.4176871180534363,0.8963474035263062
28,3,turn_off_lightbulb,2,4.614678859710693,0.5627252459526062,0.827099084854126
29,3,turn_on_lightbulb,2,4.3355302810668945,0.3200473189353943,0.8110314011573792
30,3,place_in_slider,2,4.488783836364746,0.34151899814605713,0.5157864093780518
31,3,turn_off_lightbulb,2,6.558995723724365,0.46937447786331177,0.7698870301246643
32,3,place_in_slider,2,3.8989386558532715,0.48787862062454224,0.7081416845321655
33,3,push_pink_block_right,2,5.298426628112793,0.4981350898742676,0.7890587449073792
34,3,place_in_slider,2,4.202823162078857,0.5780302286148071,0.7860274314880371
35,10,place_in_slider,2,3.4785008430480957,0.6872420310974121,0.8786877393722534
36,10,turn_off_lightbulb,2,3.9125514030456543,0.5705465078353882,0.8886268138885498
37,10,lift_blue_block_slider,2,5.204770088195801,0.1999095380306244,0.617796003818512
38,10,place_in_slider,2,3.6211555004119873,0.5746043920516968,0.8041032552719116
39,10,lift_red_block_table,2,5.681212425231934,0.10499183088541031,0.4911178648471832
40,10,push_pink_block_right,2,4.098728656768799,0.15800556540489197,0.36063602566719055
41,10,lift_red_block_table,2,4.3352742195129395,0.4336220324039459,0.8088366389274597
42,10,place_in_slider,2,3.6480000019073486,0.6787863969802856,0.9205299019813538
43,10,turn_off_lightbulb,2,3.7095608711242676,0.42867588996887207,0.5954849123954773
44,10,push_pink_block_right,2,4.2984795570373535,0.20284819602966309,0.4361152648925781
45,10,turn_off_lightbulb,2,4.091378211975098,0.46505483984947205,0.7365221381187439
46,10,turn_on_lightbulb,2,6.786690711975098,0.23815476894378662,0.37381720542907715
47,10,lift_red_block_table,2,4.986090660095215,0.29984554648399353,0.6378142237663269
