sample,session,goal,horizon,HorizonCoreGain,D2_full_cosine,D2_execution_cosine,D2_full_mse,goal_mean_full_mse,D2_execution_mse,goal_mean_execution_mse
130,29,place_in_slider,1,-0.1318974494934082,0.8309983611106873,0.9057106971740723,0.7501254081726074,1.557798147201538,0.6681280732154846,2.287696361541748
131,29,lift_red_block_table,1,-0.38832855224609375,0.11957650631666183,0.27395331859588623,2.6573479175567627,2.7357723712921143,2.523705005645752,2.7179789543151855
132,29,lift_blue_block_slider,1,0.44998836517333984,0.8064723610877991,0.5380232334136963,3.7794995307922363,5.777103900909424,2.6606361865997314,3.2196967601776123
133,29,turn_on_lightbulb,1,-1.4475359916687012,0.8105161786079407,0.7904661893844604,0.8663977384567261,2.206616163253784,0.8884165287017822,2.0436389446258545
134,29,push_pink_block_right,1,-0.362823486328125,0.05858989804983139,0.14430318772792816,2.6178107261657715,3.3890225887298584,3.3901498317718506,4.821365833282471
135,29,lift_blue_block_slider,1,-0.4961376190185547,0.7062228918075562,0.6394293308258057,1.1274068355560303,1.6847524642944336,1.1368341445922852,1.5245063304901123
136,29,turn_off_lightbulb,1,-0.5867724418640137,0.6155347228050232,0.28204241394996643,0.45124509930610657,0.5413094758987427,0.32618749141693115,0.38661009073257446
137,29,lift_red_block_table,1,-0.08705472946166992,0.8363051414489746,0.812585711479187,0.5931515693664551,1.2269905805587769,0.7466409802436829,1.262751579284668
138,29,turn_on_lightbulb,1,-0.8672370910644531,0.26430994272232056,0.1568329632282257,1.098975419998169,0.708827555179596,1.2422550916671753,1.2350674867630005
0,3,turn_off_lightbulb,2,-0.40334177017211914,0.9075725674629211,0.9216246604919434,0.6038075089454651,0.9625548124313354,0.35914039611816406,0.5880981683731079
1,3,lift_red_block_table,2,-0.781059741973877,0.809518039226532,0.9177283048629761,0.42926156520843506,0.6325008869171143,0.19562382996082306,0.575509786605835
2,3,lift_blue_block_slider,2,-1.6179542541503906,0.7338303923606873,0.5182684063911438,0.2961782217025757,0.6613189578056335,0.3926771879196167,0.8735613822937012
3,3,push_pink_block_right,2,-1.447080135345459,0.7817187309265137,0.5274189710617065,2.000386953353882,3.5671403408050537,2.921090841293335,4.320765495300293
4,3,turn_on_lightbulb,2,-0.8693075180053711,-0.11171414703130722,-0.19996920228004456,4.628419876098633,5.4134016036987305,6.457838535308838,8.226901054382324
5,3,lift_red_block_table,2,-0.5345377922058105,0.4538883566856384,0.5088803172111511,1.411861538887024,2.0137577056884766,1.818352460861206,2.7279696464538574
6,3,turn_on_lightbulb,2,-0.8508708477020264,0.7957839369773865,0.8103606104850769,0.4070545434951782,0.7321635484695435,0.47745373845100403,0.8034822940826416
