sample,session,goal,horizon,target_distance,margin,region_rank,semantic_rank,semantic_top1,semantic_cosine_margin
16,0,push_pink_block_right,4,2.3869144916534424,0.8129115104675293,1,1,1,0.0910523533821106
17,0,turn_off_lightbulb,0,5.421079158782959,-0.9156436920166016,5,3,0,-0.006318509578704834
17,0,turn_off_lightbulb,1,3.490449905395508,-0.1157371997833252,2,3,0,-0.08783191442489624
17,0,turn_off_lightbulb,2,2.8159618377685547,0.6435153484344482,1,2,0,-0.09739622473716736
17,0,turn_off_lightbulb,4,2.4151713848114014,0.8532674312591553,1,2,0,-0.03424495458602905
18,0,turn_on_lightbulb,0,3.095041275024414,-0.5230231285095215,2,2,0,-0.3726884722709656
18,0,turn_on_lightbulb,1,4.400063514709473,0.06377887725830078,1,2,0,-0.0019750595092773438
18,0,turn_on_lightbulb,2,3.054774045944214,0.41002655029296875,1,1,1,0.0877588540315628
18,0,turn_on_lightbulb,4,3.069112539291382,0.21650290489196777,1,4,0,-0.11565609276294708
19,0,lift_blue_block_slider,0,6.2932000160217285,-1.166407585144043,3,1,1,0.020533695816993713
19,0,lift_blue_block_slider,1,5.515073776245117,-0.21885156631469727,3,1,1,0.03232763707637787
19,0,lift_blue_block_slider,2,3.1605772972106934,0.35481882095336914,1,1,1,0.23702463507652283
19,0,lift_blue_block_slider,4,2.9824700355529785,0.18745994567871094,1,1,1,0.13401982188224792
20,0,turn_off_lightbulb,0,6.1941142082214355,-1.4411377906799316,6,1,1,0.04071430861949921
20,0,turn_off_lightbulb,1,5.824644088745117,-0.3149590492248535,3,1,1,0.011225342750549316
20,0,turn_off_lightbulb,2,3.9152863025665283,0.22111010551452637,1,2,0,-0.03238588571548462
20,0,turn_off_lightbulb,4,3.1164374351501465,1.3615984916687012,1,1,1,0.04246261715888977
21,0,turn_on_lightbulb,0,2.8841052055358887,-0.5808553695678711,3,3,0,-0.3229677081108093
21,0,turn_on_lightbulb,1,4.145801067352295,-0.44805359840393066,3,3,0,-0.04389660060405731
21,0,turn_on_lightbulb,2,3.137331485748291,0.21493244171142578,1,2,0,-0.022070378065109253
21,0,turn_on_lightbulb,4,2.7612690925598145,0.02191758155822754,1,2,0,-0.018946751952171326
22,0,turn_off_lightbulb,0,3.630099058151245,-0.19583535194396973,2,2,0,-0.028074920177459717
22,0,turn_off_lightbulb,1,3.01436448097229,0.28147411346435547,1,2,0,-0.0338207483291626
22,0,turn_off_lightbulb,2,3.063821315765381,0.40954136848449707,1,1,1,0.06035572290420532
22,0,turn_off_lightbulb,4,2.4214539527893066,0.8120994567871094,1,1,1,0.024128973484039307
23,0,push_pink_block_right,0,5.499567985534668,-1.295609474182129,4,3,0,-0.21560722589492798
23,0,push_pink_block_right,1,3.8411145210266113,-0.06755423545837402,2,4,0,-0.22902655601501465
23,0,push_pink_block_right,2,3.4520366191864014,0.3657536506652832,1,3,0,-0.08470425009727478
23,0,push_pink_block_right,4,4.183126449584961,-0.6959667205810547,5,5,0,-0.12494385987520218
24,0,lift_red_block_table,0,4.656726837158203,-2.7080817222595215,5,4,0,-0.15798228979110718
24,0,lift_red_block_table,1,4.634763240814209,-0.4125518798828125,3,1,1,0.031184256076812744
24,0,lift_red_block_table,2,3.369652509689331,0.32128310203552246,1,1,1,0.10906119644641876
24,0,lift_red_block_table,4,2.8709208965301514,0.29060959815979004,1,1,1,0.10446012020111084
25,8,lift_red_block_table,0,3.374222993850708,-0.49629974365234375,3,3,0,-0.14805108308792114
25,8,lift_red_block_table,1,3.4127984046936035,-0.6123895645141602,4,3,0,-0.3199438452720642
25,8,lift_red_block_table,2,3.6691384315490723,-0.30712032318115234,2,3,0,-0.14521059393882751
25,8,lift_red_block_table,4,3.9997718334198,-0.317291259765625,2,1,1,0.02587243914604187
26,8,turn_on_lightbulb,0,4.881852149963379,-1.5188207626342773,4,4,0,-0.37439510226249695
26,8,turn_on_lightbulb,1,4.164747714996338,0.10071706771850586,1,1,1,0.0073746442794799805
26,8,turn_on_lightbulb,2,3.257800340652466,0.2889418601989746,1,1,1,0.05364903807640076
26,8,turn_on_lightbulb,4,2.5861401557922363,0.742368221282959,1,3,0,-0.11382836103439331
27,8,turn_off_lightbulb,0,3.716545820236206,-0.052127838134765625,2,2,0,-0.07188811898231506
27,8,turn_off_lightbulb,1,3.1282100677490234,0.3397197723388672,1,2,0,-0.08882495760917664
27,8,turn_off_lightbulb,2,3.9197754859924316,-0.257709264755249,3,1,1,0.05695807933807373
27,8,turn_off_lightbulb,4,3.681269407272339,-0.1136016845703125,2,1,1,0.022322803735733032
28,8,turn_on_lightbulb,0,4.286844253540039,-1.8551700115203857,5,5,0,-0.20469316840171814
28,8,turn_on_lightbulb,1,4.374543190002441,-0.6893694400787354,5,3,0,-0.06396833062171936
28,8,turn_on_lightbulb,2,2.9924283027648926,0.1865382194519043,1,1,1,0.0033178627490997314
28,8,turn_on_lightbulb,4,2.213754177093506,0.9267234802246094,1,2,0,-0.03887733817100525
29,8,turn_off_lightbulb,0,4.123757839202881,-0.20363807678222656,2,4,0,-0.37906232476234436
29,8,turn_off_lightbulb,1,6.131016731262207,-0.20209503173828125,2,2,0,-0.047410935163497925
29,8,turn_off_lightbulb,2,3.6317858695983887,-0.002097606658935547,2,2,0,-0.04561153054237366
29,8,turn_off_lightbulb,4,3.37724232673645,0.2523982524871826,1,2,0,-0.039985060691833496
30,8,place_in_slider,0,4.79862642288208,-1.1728343963623047,5,5,0,-0.4947514832019806
30,8,place_in_slider,1,4.191048622131348,-0.41069841384887695,3,1,1,0.10945823788642883
30,8,place_in_slider,2,3.0837087631225586,0.7042157649993896,1,1,1,0.1903572380542755
30,8,place_in_slider,4,4.076343059539795,0.3954281806945801,1,6,0,-0.2638249397277832
31,8,turn_on_lightbulb,0,6.472521781921387,-1.2445545196533203,2,5,0,-0.2792642116546631
31,8,turn_on_lightbulb,1,4.626233100891113,0.1041712760925293,1,4,0,-0.1509854793548584
31,8,turn_on_lightbulb,2,3.2514488697052,-0.07810568809509277,2,2,0,-0.07745486497879028
31,8,turn_on_lightbulb,4,2.9087977409362793,0.5834763050079346,1,2,0,-0.0721474289894104
32,8,lift_blue_block_slider,0,5.205580711364746,-0.5891976356506348,5,2,0,-0.06453785300254822
32,8,lift_blue_block_slider,1,3.2616477012634277,0.25627613067626953,1,3,0,-0.07800844311714172
32,8,lift_blue_block_slider,2,2.568249225616455,0.9085123538970947,1,1,1,0.3675982356071472
32,8,lift_blue_block_slider,4,3.3645119667053223,0.8349175453186035,1,1,1,0.03925752639770508
33,8,place_in_slider,0,3.7840676307678223,0.286531925201416,1,3,0,-0.10152733325958252
