kind,sample,session,source_goal,target_goal,horizon,cycle_full,cycle_semantic,cycle_execution,ground_truth_cycle_full,target_distance,execution_target_distance,target_rank,endpoint_error,decoded_action_mse,future_latent_mse,execution_knn_radius,local_pca_normal_distance,trajectory_jump
observed,60,8,push_pink_block_right,push_pink_block_right,4,2.864257335662842,2.6891043186187744,0.9862496256828308,0.43445271253585815,3.236936569213867,1.4485794305801392,2,1,0.03445642814040184,0.32139426469802856,1.4485794305801392,1.2181847095489502,0.39242038130760193
observed,61,8,turn_on_lightbulb,turn_on_lightbulb,4,2.630962610244751,2.495800256729126,0.8324331045150757,0.5659030675888062,2.478098154067993,1.6988004446029663,1,0,0.018836161121726036,0.21000567078590393,1.6988004446029663,0.9587377309799194,0.1130601316690445
observed,62,8,place_in_slider,place_in_slider,4,4.266383647918701,2.797412157058716,3.221259832382202,1.0734657049179077,5.248815059661865,3.1684911251068115,6,1,0.06463573127985,0.987790584564209,3.1684911251068115,1.8273264169692993,0.3902377188205719
observed,63,8,turn_on_lightbulb,turn_on_lightbulb,4,2.9885458946228027,2.6899943351745605,1.3020514249801636,0.30658429861068726,3.5807151794433594,2.8162126541137695,4,1,0.044469207525253296,0.4734519422054291,2.8162126541137695,1.508170247077942,0.20546282827854156
observed,64,8,lift_red_block_table,lift_red_block_table,4,2.5714683532714844,2.442234516143799,0.804947018623352,0.7602031230926514,3.4390902519226074,2.412623405456543,2,1,0.04852132871747017,1.215608835220337,2.412623405456543,1.4595046043395996,0.22569361329078674
observed,65,8,place_in_slider,place_in_slider,4,2.593583345413208,1.8631161451339722,1.8042927980422974,0.43415626883506775,5.3354268074035645,3.7255492210388184,6,1,0.03445565328001976,0.9924015998840332,3.7255492210388184,1.7129040956497192,0.1715128868818283
observed,66,8,lift_blue_block_slider,lift_blue_block_slider,4,2.4649131298065186,2.2214646339416504,1.0681252479553223,0.48552578687667847,2.886904239654541,2.208872079849243,1,0,0.016075395047664642,0.46452751755714417,2.208872079849243,0.9144613146781921,0.1600484699010849
observed,67,8,turn_on_lightbulb,turn_on_lightbulb,4,3.150655746459961,2.4553372859954834,1.9743226766586304,0.31611546874046326,3.4314396381378174,2.759721517562866,1,0,0.020862728357315063,0.698522686958313,2.759721517562866,2.1511309146881104,0.1953262835741043
observed,68,8,place_in_slider,place_in_slider,4,3.3150315284729004,2.694234609603882,1.9314589500427246,1.6399837732315063,4.863423824310303,2.9095356464385986,6,1,0.08881103992462158,2.141686201095581,2.9095356464385986,1.9555037021636963,0.11636560410261154
observed,69,14,place_in_slider,place_in_slider,4,3.2859349250793457,3.134042501449585,0.9874955415725708,1.313683032989502,4.5370588302612305,3.2430806159973145,4,1,0.0368405245244503,1.3477609157562256,3.2430806159973145,1.0857908725738525,0.24251669645309448
